instance_type,cost_per_hour
t2.micro,0.0116
t2.small,0.023
t2.medium,0.0464
t2.large,0.0928
t2.xlarge,0.1856
t2.2xlarge,0.3712
m5.large,0.096
m5.xlarge,0.192
m5.2xlarge,0.384
m5.4xlarge,0.768
m5.8xlarge,1.536
m5.12xlarge,2.304
m5.16xlarge,3.072
m5.24xlarge,4.608
c5.large,0.085
c5.xlarge,0.17
c5.2xlarge,0.34
c5.4xlarge,0.68
c5.9xlarge,1.53
c5.12xlarge,2.04
c5.18xlarge,3.06
c5.24xlarge,4.08
r5.large,0.126
r5.xlarge,0.252
r5.2xlarge,0.504
r5.4xlarge,1.008
r5.8xlarge,2.016
r5.12xlarge,3.024
r5.16xlarge,4.032
r5.24xlarge,6.048
VM.Standard.E2.v3,0.126
VM.Standard.E4.v3,0.252
VM.Standard.E8.v3,0.504
VM.Standard.E16.v3,1.008
VM.Standard.E20.v3,1.26
VM.Standard.E32.v3,2.016
VM.Standard.E48.v3,3.024
VM.Standard.E64.v3,4.032
VM.Standard.D2.v3,0.096
VM.Standard.D4.v3,0.192
VM.Standard.D8.v3,0.384
VM.Standard.D16.v3,0.768
VM.Standard.D32.v3,1.536
VM.Standard.D48.v3,2.304
VM.Standard.D64.v3,3.072
VM.Standard.B1ls,0.0052
VM.Standard.B1s,0.0104
VM.Standard.B2s,0.0208
VM.Standard.B2ms,0.0416
VM.Standard.B4ms,0.0832
VM.Standard.B8ms,0.1664
VM.Standard.B12ms,0.2496
VM.Standard.B16ms,0.3328
VM.Standard.B20ms,0.416
